Plant Name,Part Used,Medicinal Benefits,Image URL
Shankhapushpi,Leaf,"Shankhapushpi is known for its ability to enhance memory, improve concentration, and promote mental clarity. It reduces stress, promotes relaxation, and supports cognitive function. Shankhapushpi also has a calming effect, reducing anxiety and improving overall brain health.","https://yourimagehost.com/shankhapushpi.jpg"
Pippali,Fruit,"Pippali (Long Pepper) is commonly used to improve digestion, enhance lung function, and treat respiratory conditions like asthma and bronchitis. It also boosts immunity, aids metabolism, and supports healthy liver function.","https://yourimagehost.com/pippali.jpg"
Gotu Kola,Leaf,"Gotu Kola improves skin health, enhances circulation, and promotes mental clarity. It reduces anxiety, stress, and supports brain function. Gotu Kola is also known for its ability to promote wound healing and improve overall vitality.","https://yourimagehost.com/gotukola.jpg"
Mustard,Seed,"Mustard seeds aid in digestion, relieve muscle pain, and support the respiratory system. They also have antimicrobial properties that help with skin conditions and promote healthy hair growth. Mustard is rich in antioxidants and essential fatty acids.","https://yourimagehost.com/mustard.jpg"
Vidanga,Fruit,"Vidanga is commonly used in Ayurveda to promote digestion, combat parasites, and improve skin health. It has anti-inflammatory and antioxidant properties that help with detoxification and support a healthy immune system.","https://yourimagehost.com/vidanga.jpg"
Fenugreek,Seed,"Fenugreek is widely used to support digestion, improve metabolic health, and balance blood sugar levels. It has anti-inflammatory properties that help with joint pain and reduce symptoms of arthritis. Fenugreek is also known for enhancing lactation in breastfeeding mothers.","https://yourimagehost.com/fenugreek.jpg"
Licorice,Root,"Licorice root is known for its ability to soothe the digestive tract and reduce stomach ulcers. It has anti-inflammatory and immune-boosting properties, and is used to alleviate sore throats, cough, and respiratory conditions. Licorice is also an antioxidant that helps detoxify the body.","https://yourimagehost.com/licorice.jpg"
Basil,Leaf,"Basil is often used to improve digestion, promote heart health, and reduce inflammation. The leaves are rich in antioxidants, helping to fight free radicals. Basil is also known to relieve stress, regulate blood sugar, and improve respiratory function.","https://yourimagehost.com/basil.jpg"
Coriander,Leaf,"Coriander is used to improve digestion, relieve nausea, and regulate blood sugar levels. It is rich in antioxidants, supports liver health, and helps detoxify the body. Coriander also has antimicrobial properties and is used to improve skin health.","https://yourimagehost.com/coriander.jpg"
Clove,Bud,"Cloves have powerful antimicrobial properties that help with oral health by preventing gum disease and tooth decay. They also improve digestion, reduce inflammation, and relieve pain. Cloves are beneficial for treating respiratory conditions and supporting overall immune function.","https://yourimagehost.com/clove.jpg"
Sage,Leaf,"Sage is commonly used to enhance cognitive function, improve memory, and treat anxiety. It has anti-inflammatory and antioxidant effects that help with digestion, boost immune function, and improve oral health.","https://yourimagehost.com/sage.jpg"
Valerian,Root,"Valerian root is known for its calming effects and is used to improve sleep quality, reduce anxiety, and promote relaxation. It is beneficial for those suffering from insomnia and is also used to alleviate symptoms of stress and nervous tension.","https://yourimagehost.com/valerian.jpg"
Peppermint,Leaf,"Peppermint is commonly used to relieve digestive issues, such as indigestion and bloating. It also helps reduce headaches, alleviates muscle pain, and promotes mental clarity. Peppermint has a cooling effect, making it beneficial for soothing skin irritation.","https://yourimagehost.com/peppermint.jpg"
Ashitaba,Leaf,"Ashitaba is used to boost overall energy levels, improve metabolism, and support liver health. It has antioxidant and anti-inflammatory properties that help with aging, skin health, and digestive function. Ashitaba is also known for its ability to help regenerate skin cells and reduce wrinkles.","https://yourimagehost.com/ashitaba.jpg"
